division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
12,1986,1987,Y,15-49,Other,MW,0.313,0.045,0.358,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,693,Y_16
12,1992.415301,1992.579235,Y,15-49,Other,MW,0.429,0.078,0.507,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,32,Y_17
12,1995.747945,1995.830137,Y,15-49,MICS,MW,0.494,0.075,0.569,NA,NA,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,713,Y_18
12,2000.336066,2000.355191,Y,15-49,MICS,MW,0.55,0.09,0.64,NA,NA,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,1933,Y_19
12,2002.665753,2002.912329,Y,15-49,Other,MW,0.517,0.049,0.57,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,149,Y_20
12,2006.227397,2006.438356,Y,15-49,MICS,MW,0.539,0.075,0.614,NA,0.108,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,1913,Y_21
12,2012.803279,2013.082192,Y,15-49,MICS,MW,0.478768767,0.092448592,0.571217359,NA,0.07,N,,N,,N,,None,None,N,,Y,0.005820653,0.00446648,NA,0.022541823,0.053498578,NA,4984,Y_22
12,2018.980822,2019.30411,Y,15-49,MICS,MW,0.449,0.081,0.536,NA,0.141,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,7573,Y_23
24,1996.581967,1996.997268,Y,15-49,MICS,MW,0.040257,0.040743,0.081,NA,NA,N,,N,,Y,Data pertain to non-pregnant women.,None,None,Y,Traditional methods include folk methods.,N,NA,NA,NA,NA,NA,NA,1908,Y_24
24,2001.246575,2001.830137,Y,15-49,MICS,MW,0.048641238,0.014068746,0.062709984,NA,NA,N,,N,,N,,None,None,N,,N,0.004512082,0.002366087,NA,0.09766296,0.171242075,NA,1937,Y_25
24,2008.393443,2009.493151,Y,15-49,National survey,MW,0.116842163,0.083157837,0.2,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,4873,Y_26
24,2015.832877,2016.161202,Y,15-49,DHS,MW,0.125316768,0.011333144,0.136649912,NA,0.379985431,N,,N,,N,,None,None,N,,N,0.008281604,0.001728826,0.008277041,0.075811017,0.155356055,0.032659179,5805,Y_27
28,1981,1981,Y,15-49,Other,MW,0.446,0.024,0.482,NA,NA,N,,N,,Y,Data pertain to women exposed to the risk of pregnancy.,?,None,N,,N,NA,NA,NA,NA,NA,NA,2707,Y_28
28,1988,1988,Y,15-49,Other,MW,NA,NA,0.526,NA,NA,N,,N,,Y,Data pertain to fecund women.,?,None,N,,N,NA,NA,NA,NA,NA,NA,5083,Y_29
32,2013.328767,2013.493151,Y,15-49,National survey,MW,0.68932584,0.034376262,0.723702102,NA,NA,N,,Y,"Data pertain to urban centers with 2,000 or more people.",N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,6003,Y_30
32,2019.747945,2020.245902,Y,15-49,MICS,MW,0.672299319,0.017449681,0.701027087,NA,0.125418688,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,7574,Y_31
51,1991,1991,Y,15-49,National survey,MW,0.252,0.308,0.56,NA,NA,N,,Y,Data pertain to Yerevan.,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,5084,Y_32
51,2000.748634,2000.997268,Y,15-49,DHS,MW,0.222545573,0.382618617,0.605164191,NA,0.180660766,N,,N,,N,,None,None,N,,N,0.007696317,0.009151819,0.006951294,0.050708328,0.04411587,0.056391589,1848,Y_33
51,2005.665753,2005.99726,Y,15-49,DHS,MW,0.19479727,0.335886899,0.530684169,NA,0.193411788,N,,N,,N,,None,None,N,,N,0.008805317,0.010174037,0.009459245,0.063227948,0.051540404,0.06321745,1843,Y_34
51,2010.747945,2010.99726,Y,15-49,DHS,MW,0.268155655,0.280714821,0.548870476,NA,0.134910558,N,,N,,N,,None,None,N,,N,0.013475088,0.010667985,0.008244419,0.07499327,0.058107057,0.072350098,5046,Y_35
51,2015.915068,2016.327869,Y,15-49,DHS,MW,0.279909364,0.291582605,0.571491969,NA,0.125004753,N,,N,,N,,None,None,N,,N,0.008585844,0.008930389,0.006169811,0.045763841,0.046486081,0.06161063,5806,Y_36
36,1986,1986,Y,15-49,National survey,MW,0.722,0.039,0.761,NA,NA,N,,N,,N,,+,None,N,,Y,NA,NA,NA,NA,NA,NA,2757,Y_37
36,2005.643836,2006.186301,Y,15-49,National survey,MW,0.63058,0.02104,0.65162,NA,NA,N,,N,,N,,+,None,N,,Y,NA,NA,NA,NA,NA,NA,5603,Y_38
36,2008.620219,2009.158904,Y,15-49,National survey,MW,0.5921,0.0275,0.6196,NA,NA,N,,N,,N,,+,None,N,,Y,NA,NA,NA,NA,NA,NA,6026,Y_39
36,2011.572603,2012.122951,Y,15-49,National survey,MW,0.6512,0.0263,0.6775,NA,NA,N,,N,,N,,+,None,N,,Y,NA,NA,NA,NA,NA,NA,6002,Y_40
36,2015.569863,2016.101093,Y,15-49,National survey,MW,0.6465,0.0228,0.6693,NA,NA,N,,N,,N,,+,None,N,,Y,NA,NA,NA,NA,NA,NA,7344,Y_41
40,1995.915068,1996.412568,Y,15-49,Other,MW,0.468325548,0.041982393,0.510307941,NA,NA,N,,N,,N,,+,None,N,,Y,NA,NA,NA,NA,NA,NA,2848,Y_42
40,2008.704918,2009.123288,Y,15-49,Other,MW,0.676,0.02,0.696,NA,NA,N,,N,,N,,+,+,N,,Y,NA,NA,NA,NA,NA,NA,5426,Y_43
40,2012.724044,2013.4,Y,15-49,Other,MW,0.630104229,0.026421518,0.656525747,NA,NA,N,,N,,N,,+,+,N,,Y,NA,NA,NA,NA,NA,NA,6025,Y_44
31,2000.581967,2000.65847,Y,15-49,MICS,MW,0.166744621,0.384003742,0.550748363,NA,NA,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,1912,Y_45
31,2001.246575,2001.578082,Y,15-49,Other,MW,0.119,0.435,0.554,NA,0.115,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,1670,Y_46
31,2006.49589,2006.912329,Y,15-49,DHS,MW,0.142876542,0.368437348,0.51131389,NA,0.1540406,N,,N,,N,,None,None,N,,N,0.006937499,0.010738062,0.007025425,0.063018527,0.050775299,0.053042072,179,Y_47
31,2011.580822,2011.830137,Y,15-49,National survey,MW,0.139,0.41,0.549,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,7530,Y_48
44,1988,1988,Y,15-49,Other,MW,0.6012502,0.0160498,0.6173,NA,NA,N,,N,,Y,Data pertain to fecund women.,?,None,N,,N,NA,NA,NA,NA,NA,NA,2777,Y_49
48,1989,1989,Y,15-49,Other,MW,0.303,0.235,0.538,NA,NA,N,,Y,Data pertain to nationals of the country.,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,145,Y_50
48,1995,1995,Y,15-49,Other,MW,0.306,0.312,0.618,NA,NA,N,,Y,Data pertain to nationals of the country.,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,181,Y_51
48,2000,2000,Y,15-49,MICS,MW,NA,NA,0.534,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,9008,Y_52
50,1975,1976,Y,15-49,Other,MW,0.05,0.03,0.079,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,749,Y_53
50,1979.665753,1980,Y,15-49,Other,MW,0.088,0.033,0.121,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,822,Y_54
50,1981.328767,1981.580822,Y,15-49,Other,MW,0.11,0.076,0.186,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,653,Y_55
50,1983.747945,1984,Y,15-49,Other,MW,0.138,0.054,0.191,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,164,Y_56
50,1985.915068,1986.246575,Y,15-49,Other,MW,0.184,0.069,0.253,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,801,Y_57
50,1988.915301,1989.246575,Y,15-49,National survey,MW,0.232,0.076,0.308,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,828,Y_58
50,1989.161644,1989.49589,Y,15-49,Other,MW,0.245,0.07,0.314,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,161,Y_59
50,1991,1991,Y,15-49,Other,MW,0.312,0.087,0.399,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,2802,Y_60
50,1993.832877,1994.243836,Y,15-49,DHS,MW,0.362077118,0.083603397,0.445680515,NA,0.217389289,N,,N,,N,,None,None,N,,N,0.007854302,0.003535727,0.005245509,0.035018878,0.048239867,0.035563338,1814,Y_61
50,1996.833333,1997.243836,Y,15-49,DHS,MW,0.415627983,0.076786461,0.492414444,NA,0.197996259,N,,N,,N,,None,None,N,,N,0.00848849,0.003955258,0.005985992,0.036626906,0.058932405,0.037250849,1815,Y_62
50,1999.832877,2000.245902,Y,15-49,DHS,MW,0.434698454,0.103014461,0.537712915,NA,0.184725646,N,,N,,N,,None,None,N,,N,0.008344674,0.004461244,0.005666179,0.035877468,0.051247595,0.037541513,1816,Y_63
50,2001,2001.493151,Y,15-49,National survey,MW,0.439,0.063,0.502,NA,NA,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,5047,Y_64
50,2004,2004.412568,Y,15-49,DHS,MW,0.47288898,0.10777585,0.58066483,NA,0.15193747,N,,N,,N,,None,None,N,,N,0.009036736,0.003977748,0.005300453,0.039323823,0.045732447,0.039972169,1813,Y_65
50,2007.161644,2007.663014,Y,15-49,DHS,MW,0.474569304,0.083333951,0.557903255,NA,0.167874589,N,,N,,N,,None,None,N,,N,0.008123493,0.003673924,0.005328499,0.034578216,0.051463823,0.039499422,1840,Y_66
50,2011.49589,2011.99726,Y,15-49,DHS,MW,0.520512988,0.091613759,0.612126747,NA,0.134735596,N,,N,,N,,None,None,N,,N,0.005521121,0.00309957,0.003462964,0.023031652,0.038736759,0.031618065,5048,Y_67
50,2012.915301,2013.326027,Y,15-49,MICS,MW,0.592691714,0.024883716,0.61757543,NA,0.138952247,N,,N,,N,,None,None,N,,Y,0.003622931,0.000864958,0.002395881,0.015481321,0.03700405,0.021033735,5595,Y_68
50,2014.413699,2014.912329,Y,15-49,DHS,MW,0.540553028,0.083920093,0.624473122,NA,0.12010011,N,,N,,N,,None,None,N,,N,0.006400408,0.003787065,0.00459328,0.02838184,0.054012252,0.046407088,5787,Y_69
50,2016.639344,2017.109589,Y,15-49,National survey,MW,0.56,0.067,0.628,NA,NA,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,7618,Y_70
50,2017.747945,2018.243836,Y,15-49,DHS,MW,0.518937559,0.099523451,0.618461009,NA,0.119905546,N,,N,,N,,None,None,N,,N,0.00554988,0.00255942,0.003463319,0.023826267,0.030734234,0.031121416,7475,Y_71
50,2019.049315,2019.413699,Y,15-49,MICS,MW,0.591144407,0.035873292,0.6270177,NA,0.136899789,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,7575,Y_72
52,1980,1981,Y,15-49,Other,MW,0.446240093,0.019193398,0.465433491,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,108,Y_73
52,1988,1988,Y,15-49,Other,MW,0.5335,0.0165,0.55,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,2778,Y_74
52,2012.330601,2012.830601,Y,15-49,MICS,MW,0.553845747,0.038222754,0.592068501,NA,0.199,N,,N,,N,,None,None,N,,Y,0.018548752,0.006588875,0.017118297,0.074662156,0.177255487,0.124255671,4986,Y_75
112,1995,1995,Y,15-49,National survey,MW,0.421,0.083,0.504,NA,NA,N,,N,,N,,+,None,N,,N,NA,NA,NA,NA,NA,NA,2850,Y_76
112,2005.832877,2005.99726,Y,15-49,MICS,MW,0.570371817,0.155725121,0.726096938,NA,NA,N,,N,,N,,None,None,N,,Y,0.012042544,0.01120288,NA,0.052566234,0.093792284,NA,666,Y_77
112,2012.237705,2012.5,Y,15-49,MICS,MW,0.519333251,0.111245755,0.630579006,NA,0.07,N,,N,,N,,None,None,N,,Y,0.010676314,0.006064029,0.007066456,0.045990601,0.065919728,0.068141451,4987,Y_78
112,2017,2017.912329,Y,15-49,Other,MW,0.5927,0.1188,0.7115,NA,NA,N,,N,,N,,+,+,N,,Y,NA,NA,NA,NA,NA,NA,7498,Y_79
112,2019.161644,2019.493151,Y,15-49,MICS,MW,0.459,0.065,0.526,NA,0.175,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,7576,Y_80
56,1966,1966,Y,15-49,National survey,MW,0.108,0.612,0.72,NA,NA,N,,Y,Data pertain to the Flemish population only.,N,,+,+,N,,N,NA,NA,NA,NA,NA,NA,4955,Y_81
56,1975,1976,Y,15-49,National survey,MW,0.4785,0.3915,0.87,NA,NA,N,,Y,Data pertain to the Flemish population only.,N,,+,+,N,,N,NA,NA,NA,NA,NA,NA,4956,Y_82
56,1982,1983,Y,15-49,National survey,MW,0.6318,0.1782,0.81,NA,NA,N,,Y,Data pertain to the Flemish population only.,N,,+,+,N,,N,NA,NA,NA,NA,NA,NA,2725,Y_83
56,1991.161644,1992.997268,Y,15-49,Other,MW,0.74300121,0.040863251,0.783864462,NA,0.034,N,,Y,Data pertain to the Flemish population only.,N,,+,+,N,,Y,NA,NA,NA,NA,NA,NA,2803,Y_84
56,2008.084699,2010.410959,Y,15-49,Other,MW,0.728,0.009,0.737,NA,NA,N,,N,,N,,+,+,N,,Y,NA,NA,NA,NA,NA,NA,5427,Y_85
56,2013,2013.99726,Y,15-49,National survey,MW,0.659075898,0.008455765,0.667531663,NA,NA,N,,N,,N,,-,None,N,,N,NA,NA,NA,NA,NA,NA,7346,Y_86
56,2018.580822,2018.99726,Y,15-49,National survey,MW,0.654,0.013,0.667,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,7499,Y_87
84,1991.038356,1991.134247,Y,15-49,Other,MW,0.431024646,0.036631883,0.468717882,NA,0.257,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,779,Y_88
84,1999.827397,1999.950685,Y,15-49,National survey,MW,0.5095,0.0515,0.561,NA,0.208,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,154,Y_89
84,2011.446575,2011.591781,Y,15-49,MICS,MW,0.51983179,0.031736813,0.551568603,NA,0.159,N,,N,,N,,None,None,N,,Y,0.013150234,0.00361143,0.00883782,0.054088398,0.121308024,0.064319466,4988,Y_90
84,2015.79726,2016.081967,Y,15-49,MICS,MW,0.484532345,0.029064291,0.513596636,NA,0.222482739,N,,N,,N,,None,None,N,,N,0.011202025,0.003902096,0.009781747,0.045837082,0.141238161,0.066991304,5761,Y_91
204,1982,1982.745205,Y,15-49,Other,MW,0.007,0.059,0.066,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,697,Y_92
204,1996.415301,1996.663934,Y,15-49,DHS,MW,0.034247397,0.129800229,0.164047626,NA,0.276679259,N,,N,,N,,None,None,N,,N,0.003438431,0.007541354,0.008035259,0.104695609,0.067152822,0.043306793,1780,Y_93
204,2001.580822,2001.912329,Y,15-49,DHS,MW,0.071832117,0.114098882,0.185931,NA,0.279315072,N,,N,,N,,None,None,N,,N,0.004613796,0.005660683,0.00743533,0.070687631,0.057211353,0.038805846,1761,Y_94
204,2006.580822,2006.912329,Y,15-49,DHS,MW,0.061499992,0.108640893,0.170140885,NA,0.272875107,N,,N,,N,,None,None,N,,N,0.002496845,0.004026756,0.004735472,0.044125428,0.042179746,0.024153591,694,Y_95
204,2011.915068,2012.245902,Y,15-49,DHS,MW,0.078959871,0.050386748,0.129346619,NA,0.325608704,N,,N,,N,,None,None,N,,N,0.003327964,0.003568439,0.005488242,0.046985398,0.075799029,0.025197442,4493,Y_96
204,2014.328767,2014.328767,Y,15-49,MICS,MW,0.123580471,0.055051241,0.178631713,NA,0.331408749,N,,N,,N,,None,None,N,,Y,0.005246142,0.003663797,0.005913763,0.048492909,0.070514085,0.028204568,5665,Y_97
204,2017.846575,2018.158904,Y,15-49,DHS,MW,0.120357581,0.034737762,0.155095343,NA,0.323166096,N,,N,,N,,None,None,N,,N,0.004284371,0.002293361,0.005585877,0.040802014,0.069001959,0.026461916,6055,Y_98
64,2000,2000,Y,15-49,National survey,MW,0.307,NA,0.307,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,630,Y_99
64,2010.246575,2010.643836,Y,15-49,MICS,MW,0.653839264,0.002201704,0.656040968,NA,0.117,N,,N,,N,,None,None,N,,Y,0.0065213,0.000601695,0.005781274,0.028619376,0.271710608,0.049946915,4989,Y_100
68,1989.161644,1989.578082,Y,15-49,DHS,MW,0.122472115,0.180292343,0.302764458,NA,0.357,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,1768,Y_101
68,1993.832877,1994.410959,Y,15-49,DHS,MW,0.177800625,0.275424516,0.453225142,NA,0.288875413,N,,N,,N,,None,None,N,,N,0.008243571,0.007710769,0.00847741,0.060874296,0.04248878,0.042991408,1769,Y_102
68,1998.161644,1998.745205,Y,15-49,DHS,MW,0.252141615,0.23115503,0.483296646,NA,0.265551806,N,,N,,N,,None,None,N,,N,0.007246148,0.006501171,0.006754971,0.041257076,0.039616034,0.039987399,1766,Y_103
68,2000.620219,2000.871585,Y,15-49,MICS,MW,0.304948277,0.229445661,0.534393939,NA,NA,N,,N,,N,,None,None,N,,N,0.011711004,0.009379604,NA,0.05954835,0.057260145,NA,1930,Y_104
68,2003.580822,2004.081967,Y,15-49,DHS,MW,0.349117863,0.234435196,0.583553059,NA,0.228255158,N,,N,,N,,None,None,N,,N,0.009282989,0.007977802,0.00637132,0.040225965,0.043412542,0.041626442,1844,Y_105
68,2008.084699,2008.494536,Y,15-49,DHS,MW,0.3456357,0.260661849,0.606297549,NA,0.201293346,N,,N,,N,,None,None,N,,N,0.008140032,0.006877745,0.005885171,0.038647811,0.038078944,0.040366804,4492,Y_106
68,2016.336066,2016.745902,Y,15-49,National survey,MW,0.451,0.213,0.665,NA,0.232,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,7485,Y_107
70,2000.63388,2000.800546,Y,15-49,MICS,MW,0.162251656,0.312303939,0.474555594,NA,NA,N,,N,,N,,None,None,N,,Y,0.007931914,0.013066091,NA,0.065014904,0.066635312,NA,2894,Y_108
70,2006.367123,2006.520548,Y,15-49,MICS,MW,0.112830882,0.244257523,0.357088405,NA,NA,N,,N,,N,,None,None,N,,Y,0.008905269,0.016145836,NA,0.096961955,0.093590159,NA,2296,Y_109
70,2011.832877,2012.245902,Y,15-49,MICS,MW,0.121380995,0.338793308,0.460174303,NA,0.09,N,,N,,N,,None,None,N,,N,0.00866379,0.016170126,0.015785717,0.092701974,0.080439141,0.074781143,4990,Y_110
72,1984.163934,1984.497268,Y,15-49,Other,MW,0.186,0.007,0.193,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,826,Y_111
72,1988.581967,1988.997268,Y,15-49,DHS,MW,0.317,0.013,0.33,NA,0.269,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,1803,Y_112
72,1996,1996,Y,15-49,National survey,MW,0.456542314,0.006969447,0.472055442,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,113,Y_113
72,2000.39071,2000.579235,Y,15-49,MICS,MW,0.421,0.023,0.444,NA,NA,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,1927,Y_114
72,2007.665753,2008.081967,Y,15-49,MICS,MW,NA,NA,0.697,NA,0.096,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,2951,Y_115
72,2017.580822,2017.830137,Y,15-49,National survey,MW,NA,NA,0.674,NA,NA,N,,N,,N,,None,None,N,,Y,NA,NA,NA,NA,NA,NA,7666,Y_116
76,1986.328767,1986.663014,Y,15-49,DHS,MW,0.565226841,0.096651052,0.661877893,NA,0.128,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,1869,Y_117
76,1996.163934,1996.494536,Y,15-49,DHS,MW,0.702765481,0.064590631,0.767356112,NA,0.1084937,N,,N,,N,,None,None,N,,N,0.006788663,0.003613858,0.004164342,0.033630185,0.061979748,0.05204486,1868,Y_118
76,2006.832877,2007.408219,Y,15-49,National survey,MW,0.771,0.035,0.806,NA,0.06,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,2952,Y_119
76,2013,2013,Y,15-49,National survey,MW,0.776724942,0.025280053,0.802004996,NA,NA,N,,N,,N,,+,None,N,,N,NA,NA,NA,NA,NA,NA,6006,Y_120
100,1976.833333,1976.997268,Y,15-49,Other,MW,0.06,0.691,0.751,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,4961,Y_121
100,1995,1995,Y,15-49,National survey,MW,0.456,0.403,0.859,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,2851,Y_122
100,1997.832877,1998.243836,Y,15-49,Other,MW,0.396,0.238,0.634,NA,0.297,N,,N,,N,,+,None,N,,Y,NA,NA,NA,NA,NA,NA,2870,Y_123
100,2004.833333,2005,Y,15-49,Other,MW,0.368,0.276,0.644,NA,NA,N,,N,,N,,+,+,N,,Y,NA,NA,NA,NA,NA,NA,5428,Y_124
100,2007.246575,2007.493151,Y,15-49,Other,MW,0.396,0.305,0.701,NA,NA,N,,N,,N,,+,-,N,,Y,NA,NA,NA,NA,NA,NA,5429,Y_125
854,1992.915301,1993.243836,Y,15-49,DHS,MW,0.04185774,0.037449276,0.079307016,NA,0.245871983,N,,N,,N,,None,None,N,,N,0.003190207,0.004147212,0.009160855,0.080160923,0.11557096,0.050653082,1776,Y_126
854,1998.832877,1999.243836,Y,15-49,DHS,MW,0.048296047,0.070394321,0.118690367,NA,0.302921865,N,,N,,N,,None,None,N,,N,0.003818508,0.008329421,0.008909653,0.084225153,0.12798552,0.042075263,1777,Y_127
854,2003.413699,2003.912329,Y,15-49,DHS,MW,0.087662704,0.050127463,0.137790166,NA,0.298314345,N,,N,,N,,None,None,N,,N,0.005591599,0.00383012,0.006673281,0.070624293,0.081420636,0.032437786,1787,Y_128
854,2006.238356,2006.449315,Y,15-49,MICS,MW,0.143290945,0.031418058,0.174709003,NA,NA,N,,N,,N,,None,None,N,,Y,0.011907709,0.00598999,NA,0.103072659,0.208926326,NA,136,Y_129
854,2010.328767,2011.082192,Y,15-49,DHS,MW,0.15016405,0.011607235,0.161771285,NA,0.245046235,N,,N,,N,,None,None,N,,N,0.004791464,0.001392498,0.004275672,0.037888241,0.122545139,0.023825137,4494,Y_130
